URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://www.saude.gov.br/fhir/r4/ValueSet/BRProblemaDiagnostico,1.0.0-release,active,,BRProblemaDiagnostico,Classificação Internacional de Doenças (Atenção Primária),"Código Internacional de Atenção Primária (CIAP2) e Classificação Internacional de Doenças (CID10)","StructureDefinition/BRProblemaDiagnostico,StructureDefinition/RNDSPrescricaoMedicamento","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/BRSexo-1.0,1.0.0-release,active,,BRSexo,Sexo,"Sexo de um indivíduo.","StructureDefinition/BRIndividuoNaoIdentificado-1.0","hl7.fhir.r4.core"
http://www.saude.gov.br/fhir/r4/ValueSet/BRTerminologiaMedicamento,1.0.0-release,active,,BRTerminologiaMedicamento,Terminologia dos medicamentos,"ValueSet utilizado para definir a terminologia de um dado medicamento.","StructureDefinition/RNDSMedicamento","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/BRTipoDispensacaoRealizada,1.0.0-release,active,,BRTipoDispensacaoRealizada,Tipo de Dispensação Realizada (ValueSet),"Indica o tipo de dispensação que foi realizada","StructureDefinition/RNDSDispensacaoMedicamento","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/BRTipoDocumento-1.0,1.0.0-release,active,,BRTipoDocumento,Tipo de Documento (ValueSet),"Classifica o tipo de documento que está sendo trafegado.","StructureDefinition/RNDSRegistroEletronicoDispensacaoFornecimentoMedicamentos","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/BRUnidadeMedidaMedicamento,1.0.0-release,active,,BRUnidadeMedidaMedicamento,Unidade de Medida de Medicamento,"ValueSet utilizado para definir a unidade de medida de medicamentos sob informações do fabricante.","StructureDefinition/RNDSDispensacaoMedicamento,StructureDefinition/RNDSMedicamento,StructureDefinition/RNDSPrescricaoMedicamento","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/BRViaAdministracao-1.0,1.0.0-release,active,,BRViaAdministracao,Via de Administração (ValueSet),"Via de administração de um imunobiológico.","StructureDefinition/RNDSDispensacaoMedicamento,StructureDefinition/RNDSPrescricaoMedicamento","Internal"
http://www.saude.gov.br/fhir/r4/ValueSet/RNDSUnidadeMedida,1.0.0-release,active,,Unidade de Medida RNDS,,"ValueSet composto por códigos do CodeSystem BRUnidadeMedida e Unidades Comuns do UCUM.",,"UCUM,Internal"
https://terminologia.saude.gov.br/fhir/ValueSet/BRCOREN,1.0.0-release,active,,BRCOREN,Conselhos regionais de Enfermagem do Brasil,"Conjunto de todos os conselhos regionais de enfermagem do Brasil","StructureDefinition/br-core-practitioner,StructureDefinition/RNDSProfissional","Internal"
https://terminologia.saude.gov.br/fhir/ValueSet/BRCRF,1.0.0-release,active,,BRCRF,Conselhos regionais de Farmácia do Brasil,"Conjunto de todos os conselhos regionais de farmácia do Brasil","StructureDefinition/br-core-practitioner,StructureDefinition/RNDSProfissional","Internal"
https://terminologia.saude.gov.br/fhir/ValueSet/BRCRM,1.0.0-release,active,,BRCRM,Conselhos regionais de Medicina do Brasil,"Conjunto de todos os conselhos regionais de medicina do Brasil","StructureDefinition/br-core-practitioner,StructureDefinition/RNDSProfissional","Internal"
https://terminologia.saude.gov.br/fhir/ValueSet/BRCRO,1.0.0-release,active,,BRCRO,Conselhos regionais de Odontologia do Brasil,"Conjunto de todos os conselhos regionais de farmácia do Brasil","StructureDefinition/br-core-practitioner,StructureDefinition/RNDSProfissional","Internal"
https://terminologia.saude.gov.br/fhir/ValueSet/BROutrosProfissionais,1.0.0-release,active,,BROutrosProfissionais,Conselhos regionais de outros profissionais da saúde do Brasil,"Conjunto de todos os conselhos regionais de outros profissionais da saúde do Brasil","StructureDefinition/br-core-practitioner,StructureDefinition/RNDSProfissional","Internal"
