URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/RNDSLotacaoProfissional,StructureDefinition/br-core-organization,StructureDefinition/RNDSPrescricaoMedicamentoDispensado,StructureDefinition/RNDSRegistroEletronicoDispensacaoFornecimentoMedicamento,StructureDefinition/br-core-practitionerrole,StructureDefinition/RNDSEstabelecimentoSaude,StructureDefinition/RNDSMedicamentoDispensadoFornecido","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/RNDSLotacaoProfissional,StructureDefinition/br-core-organization,StructureDefinition/br-core-practitioner,StructureDefinition/RNDSProfissional,StructureDefinition/RNDSPrescricaoMedicamentoDispensado,StructureDefinition/RNDSRegistroEletronicoDispensacaoFornecimentoMedicamento,StructureDefinition/br-core-practitionerrole,StructureDefinition/RNDSEstabelecimentoSaude,StructureDefinition/RNDSMedicamentoDispensadoFornecido","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/RNDSLotacaoProfissional,StructureDefinition/RNDSMedicamentoDispensado,StructureDefinition/br-core-organization,StructureDefinition/RNDSMedicamento,StructureDefinition/br-core-practitionerrole,StructureDefinition/br-core-healthcareservice,StructureDefinition/br-core-composition,StructureDefinition/br-core-practitioner,StructureDefinition/RNDSProfissional,StructureDefinition/RNDSPrescricaoMedicamentoDispensado,StructureDefinition/RNDSRegistroEletronicoDispensacaoFornecimentoMedicamento,StructureDefinition/RNDSEstabelecimentoSaude,StructureDefinition/br-core-location,StructureDefinition/br-core-relatedperson,StructureDefinition/br-core-medication,StructureDefinition/RNDSMedicamentoDispensadoFornecido","Other"
http://hl7.org/fhir/ValueSet/list-empty-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.322",ListEmptyReasons,List Empty Reasons,"General reasons for a list to be empty. Reasons are either related to a summary list (i.e. problem or medication list) or to a workflow related list (i.e. consultation list).","StructureDefinition/RNDSRegistroEletronicoDispensacaoFornecimentoMedicamento,StructureDefinition/br-core-composition","THO"
http://hl7.org/fhir/ValueSet/list-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.318",ListMode,ListMode,"The processing mode that applies to this list.","StructureDefinition/RNDSRegistroEletronicoDispensacaoFornecimentoMedicamento,StructureDefinition/br-core-composition","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/location-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.330",LocationMode,LocationMode,"Indicates whether a resource instance represents a specific location or a class of locations.","StructureDefinition/br-core-location","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/location-physical-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.328",LocationType,Location type,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.","StructureDefinition/br-core-location","THO"
http://hl7.org/fhir/ValueSet/location-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.332",LocationStatus,LocationStatus,"Indicates whether the location is still in use.","StructureDefinition/br-core-location","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/medication-as-needed-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.96",SNOMEDCTMedicationAsNeededReasonCodes,SNOMED CT Medication As Needed Reason Codes,"This value set includes all clinical findings from SNOMED CT - provided as an exemplar value set.","StructureDefinition/RNDSPrescricaoMedicamentoDispensado,StructureDefinition/RNDSMedicamentoDispensadoFornecido","SCT"
http://hl7.org/fhir/ValueSet/medication-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.375",SNOMEDCTMedicationCodes,SNOMED CT Medication Codes,"This value set includes all drug or medicament substance codes and all pharmaceutical/biologic products from SNOMED CT - provided as an exemplar value set.","StructureDefinition/br-core-medication","SCT"
http://hl7.org/fhir/ValueSet/medication-form-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.374",SNOMEDCTFormCodes,SNOMED CT Form Codes,"This value set includes all dose form codes from SNOMED CT - provided as an exemplar.","StructureDefinition/br-core-medication","SCT"
http://hl7.org/fhir/ValueSet/medication-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.376",Medication Status Codes,Medication  status  codes,"Medication Status Codes","StructureDefinition/RNDSMedicamentoDispensado,StructureDefinition/RNDSMedicamento,StructureDefinition/br-core-medication","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/medicationdispense-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.1314",MedicationDispense Category Codes,Medication dispense  category  codes,"MedicationDispense Category Codes","StructureDefinition/RNDSMedicamentoDispensadoFornecido","THO"
http://hl7.org/fhir/ValueSet/medicationdispense-performer-function,4.0.1,draft,"2.16.840.1.113883.4.642.3.1318",MedicationDispense Performer Function Codes,Medication dispense  performer  function  codes,"MedicationDispense Performer Function Codes","StructureDefinition/RNDSMedicamentoDispensadoFornecido","THO"
http://hl7.org/fhir/ValueSet/medicationdispense-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.1312",MedicationDispense Status Codes,Medication dispense  status  codes,"MedicationDispense Status Codes","StructureDefinition/RNDSMedicamentoDispensadoFornecido","THO"
http://hl7.org/fhir/ValueSet/medicationdispense-status-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.1316",MedicationDispense Status Reason Codes,Medication dispense  status  reason  codes,"MedicationDispense Status Codes","StructureDefinition/RNDSMedicamentoDispensadoFornecido","THO"
http://hl7.org/fhir/ValueSet/medicationrequest-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.1322",medicationRequest Category Codes,Medication request  category  codes,"MedicationRequest Category Codes","StructureDefinition/RNDSPrescricaoMedicamentoDispensado,StructureDefinition/RNDSMedicamentoDispensadoFornecido","THO"
